segment_id,material,risk_method,risk_score,risk_band
d4cc526f-d4d5-4e79-ad72-5da97a222fcb,CON,PCCP_RULE,2.0,Medium
8a0e793e-d18d-459a-81aa-f39dca09a8e0,CON,PCCP_RULE,2.0,Medium
09d87a5b-55a1-4040-a113-54054bcdaa28,CON,PCCP_RULE,2.0,Medium
e6796469-834c-4858-9e74-e870842d3ca4,CON,PCCP_RULE,2.0,Medium
9357bb49-8a7c-4373-a903-b96b93704b71,CON,PCCP_RULE,2.0,Medium
2b69df97-da17-476f-b021-5fb2521b062c,CON,PCCP_RULE,2.0,Medium
95a76862-f1c4-4879-9338-369622596faa,CON,PCCP_RULE,2.0,Medium
c279a890-538a-4624-8849-2d5403172945,CON,PCCP_RULE,1.0,Low
7492d1a2-f0c2-4ba8-9e53-1116b20111db,CON,PCCP_RULE,1.0,Low
888977d3-4faf-4c90-b622-09d35b5fa4e5,CON,PCCP_RULE,1.0,Low
178d0016-860a-407d-a124-079473e55098,CON,PCCP_RULE,1.0,Low
eaca195f-0f24-4256-8b1b-91f34c824e01,CON,PCCP_RULE,1.0,Low
e3e14ae8-3fc3-4df5-a970-a9c12bde6997,CON,PCCP_RULE,2.0,Medium
c038a6ef-8f4f-4671-a00e-036f5f5432d6,CON,PCCP_RULE,3.0,High
088d3de3-2d25-4a5f-a92a-2def7f013484,CON,PCCP_RULE,3.0,High
807ee942-cd0a-4ccd-bd10-d22302ac52e1,CON,PCCP_RULE,3.0,High
d749b138-941e-4a08-8124-742d5ae2eaf5,CON,PCCP_RULE,1.0,Low
bd8f76fb-f44a-4d07-881f-556782209e14,CON,PCCP_RULE,3.0,High
58701ca1-d3ff-410b-9212-3775c038c514,CON,PCCP_RULE,1.0,Low
eb288b61-4aa6-446f-aca7-70ce154a8138,CON,PCCP_RULE,2.0,Medium
b4315a4e-91d6-432a-9d88-0f4732950c24,CON,PCCP_RULE,1.0,Low
41a1f3a7-df61-4a8c-a9b8-67eb87cf7bd5,CON,PCCP_RULE,2.0,Medium
e39314b0-8313-4b28-b3bd-757bbe6a4aa3,CON,PCCP_RULE,1.0,Low
